ssn,zip_code,income,homeownership,purchases,credit_limit,fico,num_late,past_def,num_bankruptcy,avg_income,avg_income,density
699149080,17653,34000.0,1,6199.97023935655,6200.0,498.0,2,1,1,71413.2759978196,71413.2759978196,159.359406370204
426479172,51913,52000.0,0,8975.89660824584,10000.0,566.0,1,0,0,78927.5581960354,78927.5581960354,693.862685789238
697905498,43549,67000.0,1,25500.0583100768,31600.0,812.0,1,0,0,46607.9677596141,46607.9677596141,1.31410704534988
168468869,79672,101000.0,1,1399.9991028696,1400.0,370.0,2,4,1,80458.26,80458.26,19.73167
511411361,91528,58000.0,0,8800.92602306582,18000.0,674.0,1,0,0,71388.0,71388.0,596.4557
469687184,33973,41000.0,1,26076.507334674,34800.0,840.0,1,0,0,53735.7643579911,53735.7643579911,0.166883114939508
181252756,57897,68000.0,1,5578.70770756556,11200.0,584.0,0,0,0,63292.5884339022,63292.5884339022,4.33391923917978
693951195,16004,55000.0,0,4121.67624884157,11600.0,590.0,1,0,0,51544.433741266,51544.433741266,206.845970190428
155419928,31985,108000.0,1,25532.0192022335,31900.0,815.0,0,0,0,81344.51400518,81344.51400518,905.523602504265
931475534,43583,55000.0,0,5982.46056054473,18400.0,679.0,0,0,0,41973.5170603005,41973.5170603005,895.738414524081
419764254,97142,76000.0,0,2199.53832174951,2200.0,398.0,5,1,1,73090.24,73090.24,61.90729
303333585,46267,80000.0,0,2263.17145635352,16700.0,659.0,0,0,0,71061.1887384904,71061.1887384904,475.695126140947
888614768,53062,24000.0,0,39841.473607051,40600.0,887.0,1,0,0,60578.5962454561,60578.5962454561,1155.72251185184
884986109,99097,40000.0,0,2642.43941201564,12500.0,603.0,0,0,0,49295.82,49295.82,5.977695
207546192,85022,81000.0,0,1775.52530497387,40200.0,884.0,0,0,0,71830.69,71830.69,11.59034
802833821,54636,71000.0,0,5887.43723217447,10800.0,579.0,2,0,0,69496.8452264818,69496.8452264818,295.997471315855
247549205,11579,77000.0,0,1940.2694318086,36400.0,853.0,0,0,0,81828.4485167682,81828.4485167682,208.17787184784
432231343,63840,37000.0,1,22017.134635137,34800.0,840.0,0,0,0,53840.2830682074,53840.2830682074,4.68081537255702
958708173,70605,85000.0,1,18272.150765471,37600.0,863.0,1,0,0,94441.6699592816,94441.6699592816,24.8131853958038
722393747,57190,58000.0,0,2904.51306419724,19600.0,693.0,0,0,0,47504.4102073438,47504.4102073438,162.40595186464
290724470,80597,39000.0,1,7771.19976800299,10700.0,577.0,0,0,0,44353.02,44353.02,364.9513
591869461,81006,58000.0,0,20387.3870068263,26900.0,769.0,3,0,0,72543.27,72543.27,1.739315
920718026,86232,90000.0,0,7749.33992403313,18400.0,679.0,0,0,0,61689.28,61689.28,112.5787
518007582,71302,100000.0,0,20744.2131244154,22200.0,721.0,1,0,0,60379.9495004818,60379.9495004818,122.559738719958
841784841,74567,80000.0,0,4909.0907413259,37100.0,859.0,1,0,0,88930.9173714782,88930.9173714782,115.204976435964
235689438,30245,62000.0,1,14546.7586514844,21600.0,715.0,1,0,0,60992.267741334,60992.267741334,115.918529543357
666988048,15509,99000.0,1,9282.16336983359,31100.0,808.0,0,0,0,85474.7646995585,85474.7646995585,41.6550259447271
609936566,94320,102000.0,0,16719.2855490852,20900.0,707.0,0,0,0,63255.87,63255.87,51.1752
396468403,52688,80000.0,0,3000.49394111364,22900.0,729.0,0,0,0,95316.6896180254,95316.6896180254,206.029919658112
556868047,37599,40000.0,1,36519.1758475426,38100.0,867.0,1,0,0,69276.3301489299,69276.3301489299,30.3314911573585
313167143,78357,18000.0,0,4920.29358058888,17100.0,663.0,0,0,0,29839.82,29839.82,14.80423
909651685,89058,36000.0,1,12273.825091684,12300.0,601.0,5,0,0,46514.05,46514.05,313.8714
103217078,62744,68000.0,0,1499.98812591799,1500.0,373.0,5,2,1,86473.1460308454,86473.1460308454,97.9225182436025
223636737,92219,50000.0,0,8354.87525406939,18200.0,677.0,0,0,0,74433.04,74433.04,73.36567
909772107,92209,18000.0,0,4784.88042747185,10300.0,571.0,0,0,0,31468.4,31468.4,348.8588
529306414,39100,57000.0,0,5347.58951509754,11800.0,593.0,1,0,0,71353.9952423031,71353.9952423031,82.4981006178209
546091595,95219,36000.0,1,17054.1652854498,25900.0,759.0,0,0,0,48744.85,48744.85,190.9052
707081715,37118,32000.0,0,11175.8321428165,11500.0,589.0,0,0,0,67357.0287936884,67357.0287936884,1164.97315033864
659660746,32650,56000.0,0,5922.70154087224,18300.0,678.0,1,0,0,64715.5111122156,64715.5111122156,186.799109377355
758660926,91977,78000.0,0,4367.82883661204,14000.0,624.0,0,0,0,54824.08,54824.08,9.538527
825719254,70260,54000.0,0,7593.98480832547,7600.0,525.0,1,2,1,40595.4602358571,40595.4602358571,203.529316761625
896498257,53427,86000.0,0,2071.54466513371,15100.0,639.0,0,0,0,72039.7187142687,72039.7187142687,198.241196353914
911776443,26698,23000.0,0,10984.7458804267,23400.0,734.0,0,0,0,43118.9646393606,43118.9646393606,341.680987257914
936911378,49077,12000.0,1,27581.3141438732,27600.0,775.0,0,0,0,57154.0238487562,57154.0238487562,775.553492289265
904687609,78135,79000.0,1,14119.6069753269,17000.0,662.0,2,0,0,75148.2,75148.2,103.5462
857627770,70357,101000.0,0,5153.91654676109,17400.0,667.0,0,0,0,76111.1179408173,76111.1179408173,291.265585592134
989362403,26174,43000.0,0,30732.8309790522,37300.0,861.0,0,0,0,51525.0501274089,51525.0501274089,3826.97006268125
334807615,40081,14000.0,1,299.99999952916,300.0,307.0,2,1,3,55945.8577634783,55945.8577634783,69.2483025518829
264808059,48251,76000.0,1,6285.65008959545,8800.0,547.0,1,0,0,72817.3479867716,72817.3479867716,0.951348733841254
774758899,85450,62000.0,0,1660.06474044609,16600.0,658.0,0,0,0,60832.67,60832.67,3.814968
543215991,46467,97000.0,0,3781.49556091288,10800.0,579.0,0,0,0,71234.1626510714,71234.1626510714,31.6851573979399
799486364,54406,51000.0,0,2604.97376468451,34000.0,833.0,0,0,0,51217.4143724992,51217.4143724992,79.0488337670456
112529161,75133,60000.0,1,12097.8798690837,30600.0,803.0,0,0,0,56461.7008940731,56461.7008940731,186.003727938375
779924986,11747,83000.0,0,4779.96919074166,25700.0,757.0,1,0,0,72359.6788231551,72359.6788231551,139.161868542263
525208368,96521,62000.0,0,12797.8634496695,16600.0,658.0,0,0,0,93332.19,93332.19,473.6805
767470150,52682,16000.0,0,31597.422967006,31600.0,812.0,3,0,0,60470.1396519975,60470.1396519975,2279.8296647346
141962480,95533,82000.0,1,25174.3266278563,25500.0,755.0,4,0,0,61917.27,61917.27,66.15473
213309150,82789,64000.0,0,9930.02178248478,12600.0,605.0,1,0,0,87174.25,87174.25,770.773
